,article_bias_prediction,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
article_bias_prediction,37550 (100.0 %),251 (0.7 %),740 (2.0 %),2 (0.0 %),0 (0.0 %),0 (0.0 %),8 (0.0 %),0 (0.0 %),66 (0.2 %),2716 (7.2 %),3824 (10.2 %)
bignewsbln,251 (0.3 %),100000 (100.0 %),839 (0.8 %),3 (0.0 %),0 (0.0 %),0 (0.0 %),5 (0.0 %),1 (0.0 %),5 (0.0 %),92 (0.1 %),109 (0.1 %)
commoncrawl_news_articles,740 (0.9 %),839 (1.0 %),82112 (100.0 %),6 (0.0 %),0 (0.0 %),0 (0.0 %),1 (0.0 %),2 (0.0 %),45 (0.1 %),229 (0.3 %),251 (0.3 %)
dem_rep_party_platform_topics,2 (0.0 %),3 (0.0 %),6 (0.1 %),11557 (100.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),19 (0.2 %),20 (0.2 %)
gpt4_political_bias,0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),612 (100.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
gpt4_political_ideologies,0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),3200 (100.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
media_political_stance,759 (0.8 %),990 (1.0 %),1573 (1.6 %),38 (0.0 %),0 (0.0 %),0 (0.0 %),1 (0.0 %),2 (0.0 %),33 (0.0 %),188 (0.2 %),195 (0.2 %)
political_podcasts,8 (0.1 %),5 (0.0 %),1 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),11047 (100.0 %),0 (0.0 %),6 (0.1 %),1 (0.0 %),1 (0.0 %)
political_tweets,0 (0.0 %),1 (0.0 %),2 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),100000 (100.0 %),58 (0.1 %),74 (0.1 %),90 (0.1 %)
qbias,66 (0.3 %),5 (0.0 %),45 (0.2 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),6 (0.0 %),58 (0.3 %),21715 (100.0 %),67 (0.3 %),193 (0.9 %)
webis_bias_flipper_18,2716 (42.4 %),92 (1.4 %),229 (3.6 %),19 (0.3 %),0 (0.0 %),0 (0.0 %),1 (0.0 %),74 (1.2 %),67 (1.0 %),6400 (100.0 %),5132 (80.2 %)
webis_news_bias_20,3824 (49.5 %),109 (1.4 %),251 (3.3 %),20 (0.3 %),0 (0.0 %),0 (0.0 %),1 (0.0 %),90 (1.2 %),193 (2.5 %),5132 (66.5 %),7722 (100.0 %)
