Step 	Training Loss 	Validation Loss 	Count 	Accuracy 	F1 	Precision 	Recall 	Confusion Matrix
200 	1.002200 	0.888345 	(570, 1000) 	0.570000 	0.588000 	0.658000 	0.570000 	[[222 144 54] [ 12 127 31] [ 70 119 221]]
400 	0.735400 	0.646670 	(733, 1000) 	0.733000 	0.729000 	0.732000 	0.733000 	[[345 25 50] [ 55 83 32] [ 84 21 305]]
600 	0.551300 	0.560613 	(751, 1000) 	0.751000 	0.751000 	0.756000 	0.751000 	[[345 33 42] [ 50 104 16] [ 85 23 302]]
800 	0.516300 	0.557499 	(767, 1000) 	0.767000 	0.766000 	0.765000 	0.767000 	[[328 33 59] [ 30 104 36] [ 59 16 335]]
1000 	0.513700 	0.592360 	(737, 1000) 	0.737000 	0.740000 	0.762000 	0.737000 	[[345 55 20] [ 45 115 10] [ 99 34 277]]
1200 	0.474100 	0.534248 	(804, 1000) 	0.804000 	0.807000 	0.822000 	0.804000 	[[325 54 41] [ 7 153 10] [ 46 38 326]]
1400 	0.451000 	0.488757 	(779, 1000) 	0.779000 	0.777000 	0.789000 	0.779000 	[[375 20 25] [ 36 114 20] [102 18 290]]
1600 	0.435000 	0.505586 	(790, 1000) 	0.790000 	0.793000 	0.806000 	0.790000 	[[329 50 41] [ 9 149 12] [ 56 42 312]]
1800 	0.423300 	0.406584 	(809, 1000) 	0.809000 	0.809000 	0.816000 	0.809000 	[[358 28 34] [ 18 142 10] [ 73 28 309]]
2000 	0.398200 	0.453238 	(813, 1000) 	0.813000 	0.816000 	0.832000 	0.813000 	[[322 54 44] [ 8 154 8] [ 36 37 337]]
2200 	0.383500 	0.437180 	(826, 1000) 	0.826000 	0.827000 	0.836000 	0.826000 	[[321 43 56] [ 10 145 15] [ 26 24 360]]
2400 	0.373900 	0.420504 	(814, 1000) 	0.814000 	0.816000 	0.825000 	0.814000 	[[332 42 46] [ 9 151 10] [ 44 35 331]]
2600 	0.364100 	0.459835 	(824, 1000) 	0.824000 	0.825000 	0.830000 	0.824000 	[[342 34 44] [ 12 142 16] [ 41 29 340]]
2800 	0.308400 	0.468068 	(809, 1000) 	0.809000 	0.811000 	0.824000 	0.809000 	[[350 44 26] [ 12 152 6] [ 70 33 307]]
3000 	0.296100 	0.445678 	(819, 1000) 	0.819000 	0.820000 	0.824000 	0.819000 	[[331 36 53] [ 14 140 16] [ 39 23 348]]
3200 	0.286600 	0.461132 	(828, 1000) 	0.828000 	0.829000 	0.839000 	0.828000 	[[326 44 50] [ 10 151 9] [ 32 27 351]]
3400 	0.292100 	0.438473 	(822, 1000) 	0.822000 	0.823000 	0.829000 	0.822000 	[[326 33 61] [ 9 143 18] [ 31 26 353]]
3600 	0.286600 	0.408494 	(824, 1000) 	0.824000 	0.824000 	0.826000 	0.824000 	[[346 32 42] [ 10 137 23] [ 53 16 341]]
3800 	0.284400 	0.414255 	(836, 1000) 	0.836000 	0.837000 	0.839000 	0.836000 	[[359 25 36] [ 11 145 14] [ 52 26 332]]
4000 	0.300100 	0.434188 	(817, 1000) 	0.817000 	0.820000 	0.831000 	0.817000 	[[325 54 41] [ 7 147 16] [ 36 29 345]]
4200 	0.289700 	0.395330 	(850, 1000) 	0.850000 	0.852000 	0.857000 	0.850000 	[[359 34 27] [ 14 149 7] [ 42 26 342]]
4400 	0.273300 	0.354790 	(849, 1000) 	0.849000 	0.849000 	0.850000 	0.849000 	[[363 21 36] [ 14 142 14] [ 47 19 344]]
4600 	0.282100 	0.374678 	(840, 1000) 	0.840000 	0.841000 	0.847000 	0.840000 	[[333 37 50] [ 14 151 5] [ 31 23 356]]
4800 	0.286000 	0.375459 	(840, 1000) 	0.840000 	0.840000 	0.845000 	0.840000 	[[336 32 52] [ 10 151 9] [ 36 21 353]]
5000 	0.262300 	0.383264 	(846, 1000) 	0.846000 	0.846000 	0.847000 	0.846000 	[[373 14 33] [ 24 130 16] [ 55 12 343]]
5200 	0.219300 	0.474488 	(838, 1000) 	0.838000 	0.838000 	0.840000 	0.838000 	[[354 24 42] [ 16 142 12] [ 46 22 342]]
5400 	0.167800 	0.428501 	(835, 1000) 	0.835000 	0.836000 	0.838000 	0.835000 	[[347 32 41] [ 16 143 11] [ 44 21 345]]
5600 	0.166300 	0.545858 	(829, 1000) 	0.829000 	0.831000 	0.840000 	0.829000 	[[340 43 37] [ 11 155 4] [ 46 30 334]]
5800 	0.176200 	0.458584 	(846, 1000) 	0.846000 	0.846000 	0.851000 	0.846000 	[[335 32 53] [ 13 146 11] [ 27 18 365]]
6000 	0.159500 	0.504227 	(853, 1000) 	0.853000 	0.854000 	0.855000 	0.853000 	[[351 29 40] [ 16 146 8] [ 38 16 356]]
6200 	0.168500 	0.476177 	(851, 1000) 	0.851000 	0.851000 	0.853000 	0.851000 	[[348 25 47] [ 12 144 14] [ 34 17 359]]
6400 	0.150600 	0.459462 	(843, 1000) 	0.843000 	0.843000 	0.848000 	0.843000 	[[334 33 53] [ 10 152 8] [ 34 19 357]]
6600 	0.168000 	0.408259 	(859, 1000) 	0.859000 	0.859000 	0.861000 	0.859000 	[[350 18 52] [ 13 145 12] [ 29 17 364]]
6800 	0.151300 	0.441856 	(851, 1000) 	0.851000 	0.851000 	0.853000 	0.851000 	[[355 22 43] [ 14 146 10] [ 40 20 350]]
