,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
article_bias_prediction,37550,251,740,2,0,0,759,8,0,66,2716,3824
bignewsbln,251,100000,839,3,0,0,990,5,1,5,92,109
commoncrawl_news_articles,740,839,82112,6,0,0,1573,1,2,45,229,251
dem_rep_party_platform_topics,2,3,6,11557,0,0,38,0,0,0,19,20
gpt4_political_bias,0,0,0,0,612,0,0,0,0,0,0,0
gpt4_political_ideologies,0,0,0,0,0,3200,0,0,0,0,0,0
media_political_stance,759,990,1573,38,0,0,100000,1,2,33,188,195
political_podcasts,8,5,1,0,0,0,1,11047,0,6,1,1
political_tweets,0,1,2,0,0,0,2,0,100000,58,74,90
qbias,66,5,45,0,0,0,33,6,58,21715,67,193
webis_bias_flipper_18,2716,92,229,19,0,0,188,1,74,67,6400,5132
webis_news_bias_20,3824,109,251,20,0,0,195,1,90,193,5132,7722

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
article_bias_prediction,100.0000,0.6684,1.9707,0.0053,0.0,0.0,2.0213,0.0213,0.0000,0.1758,7.2330,10.1838
bignewsbln,0.2510,100.0000,0.8390,0.0030,0.0,0.0,0.9900,0.0050,0.0010,0.0050,0.0920,0.1090
commoncrawl_news_articles,0.9012,1.0218,100.0000,0.0073,0.0,0.0,1.9157,0.0012,0.0024,0.0548,0.2789,0.3057
dem_rep_party_platform_topics,0.0173,0.0260,0.0519,100.0000,0.0,0.0,0.3288,0.0000,0.0000,0.0000,0.1644,0.1731
gpt4_political_bias,0.0000,0.0000,0.0000,0.0000,100.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpt4_political_ideologies,0.0000,0.0000,0.0000,0.0000,0.0,100.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
media_political_stance,0.7590,0.9900,1.5730,0.0380,0.0,0.0,100.0000,0.0010,0.0020,0.0330,0.1880,0.1950
political_podcasts,0.0724,0.0453,0.0091,0.0000,0.0,0.0,0.0091,100.0000,0.0000,0.0543,0.0091,0.0091
political_tweets,0.0000,0.0010,0.0020,0.0000,0.0,0.0,0.0020,0.0000,100.0000,0.0580,0.0740,0.0900
qbias,0.3039,0.0230,0.2072,0.0000,0.0,0.0,0.1520,0.0276,0.2671,100.0000,0.3085,0.8888
webis_bias_flipper_18,42.4375,1.4375,3.5781,0.2969,0.0,0.0,2.9375,0.0156,1.1562,1.0469,100.0000,80.1875
webis_news_bias_20,49.5208,1.4116,3.2505,0.2590,0.0,0.0,2.5253,0.0130,1.1655,2.4994,66.4595,100.0000
