,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
PoliticalBiasBert,596 / 1000,374 / 1000,467 / 1000,461 / 1000,190 / 612,386 / 1000,350 / 1000,213 / 1000,467 / 1000,358 / 1000,368 / 1000,486 / 1000
PoliticalBiasPredictionAllsidesDeberta,651 / 1000,544 / 1000,680 / 1000,626 / 1000,188 / 612,759 / 1000,686 / 1000,763 / 1000,575 / 1000,456 / 1000,602 / 1000,745 / 1000
DistilBertPoliticalBias,332 / 1000,333 / 1000,337 / 1000,473 / 1000,502 / 612,588 / 1000,501 / 1000,493 / 1000,436 / 1000,345 / 1000,328 / 1000,327 / 1000
DistilBertPoliticalFinetune,340 / 1000,292 / 1000,344 / 1000,398 / 1000,271 / 612,571 / 1000,447 / 1000,441 / 1000,504 / 1000,318 / 1000,333 / 1000,311 / 1000
PoliticalDebateLarge,504 / 1000,427 / 1000,539 / 1000,482 / 1000,367 / 612,724 / 1000,429 / 1000,566 / 1000,419 / 1000,378 / 1000,417 / 1000,390 / 1000

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
PoliticalBiasBert,0.596,0.374,0.467,0.461,0.310,0.386,0.350,0.213,0.467,0.358,0.368,0.486,0.403
PoliticalBiasPredictionAllsidesDeberta,0.651,0.544,0.680,0.626,0.307,0.759,0.686,0.763,0.575,0.456,0.602,0.745,0.616
DistilBertPoliticalBias,0.332,0.333,0.337,0.473,0.820,0.588,0.501,0.493,0.436,0.345,0.328,0.327,0.443
DistilBertPoliticalFinetune,0.340,0.292,0.344,0.398,0.443,0.571,0.447,0.441,0.504,0.318,0.333,0.311,0.395
PoliticalDebateLarge,0.504,0.427,0.539,0.482,0.600,0.724,0.429,0.566,0.419,0.378,0.417,0.390,0.490

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
PoliticalBiasBert,0.572,0.371,0.463,0.495,0.221,0.375,0.430,0.258,0.414,0.291,0.379,0.479,0.396
PoliticalBiasPredictionAllsidesDeberta,0.646,0.540,0.678,0.604,0.153,0.751,0.731,0.796,0.565,0.456,0.590,0.745,0.605
DistilBertPoliticalBias,0.166,0.175,0.182,0.421,0.818,0.544,0.343,0.343,0.419,0.229,0.164,0.164,0.331
DistilBertPoliticalFinetune,0.260,0.238,0.277,0.418,0.389,0.632,0.432,0.459,0.554,0.212,0.240,0.210,0.360
PoliticalDebateLarge,0.509,0.424,0.541,0.615,0.568,0.823,0.563,0.693,0.570,0.366,0.415,0.393,0.540

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
PoliticalBiasBert,0.620,0.388,0.471,0.541,0.244,0.403,0.592,0.482,0.489,0.363,0.426,0.492,0.459
PoliticalBiasPredictionAllsidesDeberta,0.693,0.549,0.691,0.663,0.499,0.795,0.812,0.835,0.583,0.468,0.601,0.751,0.662
DistilBertPoliticalBias,0.110,0.299,0.445,0.522,0.821,0.648,0.563,0.454,0.489,0.400,0.110,0.109,0.414
DistilBertPoliticalFinetune,0.355,0.267,0.347,0.552,0.574,0.793,0.483,0.649,0.619,0.271,0.332,0.266,0.459
PoliticalDebateLarge,0.530,0.464,0.562,0.862,0.784,0.972,0.818,0.894,0.892,0.393,0.438,0.414,0.669

,article_bias_prediction,bignewsbln,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20
PoliticalBiasBert,0.596,0.374,0.467,0.461,0.310,0.386,0.350,0.213,0.467,0.358,0.368,0.486,0.403
PoliticalBiasPredictionAllsidesDeberta,0.651,0.544,0.680,0.626,0.307,0.759,0.686,0.763,0.575,0.456,0.602,0.745,0.616
DistilBertPoliticalBias,0.332,0.333,0.337,0.473,0.820,0.588,0.501,0.493,0.436,0.345,0.328,0.327,0.443
DistilBertPoliticalFinetune,0.340,0.292,0.344,0.398,0.443,0.571,0.447,0.441,0.504,0.318,0.333,0.311,0.395
PoliticalDebateLarge,0.504,0.427,0.539,0.482,0.600,0.724,0.429,0.566,0.419,0.378,0.417,0.390,0.490
